==========================================
SLURM_JOB_ID = 14488822
SLURM_JOB_NODELIST = d11-29
TMPDIR = /tmp/SLURM_14488822
==========================================

*-*-ID-*-* TRAINING GCN AGG W 3 LAYERS, 16 EDGES PER NODE ON Camelyon16

N Training Samples: 319
N Testing Samples: 80

  0%|          | 0/99 [00:00<?, ?it/s]
  1%|          | 1/99 [11:24<18:37:12, 684.01s/it]
  2%|▏         | 2/99 [22:43<18:21:48, 681.53s/it]
  3%|▎         | 3/99 [34:00<18:06:46, 679.23s/it]
  4%|▍         | 4/99 [45:14<17:52:14, 677.20s/it]
  5%|▌         | 5/99 [56:30<17:40:34, 676.96s/it]
  6%|▌         | 6/99 [1:07:53<17:32:04, 678.76s/it]
  7%|▋         | 7/99 [1:19:14<17:22:09, 679.67s/it]
  8%|▊         | 8/99 [1:30:40<17:13:34, 681.48s/it]
  9%|▉         | 9/99 [1:42:04<17:03:45, 682.51s/it]
 10%|█         | 10/99 [1:53:34<16:55:47, 684.80s/it]
 11%|█         | 11/99 [2:04:56<16:42:46, 683.71s/it]
 12%|█▏        | 12/99 [2:16:15<16:29:30, 682.42s/it]
 13%|█▎        | 13/99 [2:27:35<16:16:57, 681.60s/it]
 14%|█▍        | 14/99 [2:38:56<16:05:31, 681.55s/it]
 15%|█▌        | 15/99 [2:50:19<15:54:44, 681.96s/it]
 16%|█▌        | 16/99 [3:01:41<15:43:16, 681.88s/it]
 17%|█▋        | 17/99 [3:13:04<15:32:34, 682.37s/it]
 18%|█▊        | 18/99 [3:24:23<15:19:52, 681.39s/it]
 19%|█▉        | 19/99 [3:35:44<15:08:04, 681.05s/it]
 20%|██        | 20/99 [3:47:03<14:56:09, 680.63s/it]
 21%|██        | 21/99 [3:58:27<14:45:59, 681.53s/it]
 22%|██▏       | 22/99 [4:09:52<14:35:59, 682.59s/it]
 23%|██▎       | 23/99 [4:21:18<14:26:00, 683.70s/it]
 24%|██▍       | 24/99 [4:32:44<14:15:21, 684.28s/it]
 25%|██▌       | 25/99 [4:44:14<14:06:06, 686.03s/it]
 26%|██▋       | 26/99 [4:55:38<13:54:05, 685.56s/it]
 27%|██▋       | 27/99 [5:07:05<13:42:53, 685.74s/it]
 28%|██▊       | 28/99 [5:18:36<13:33:29, 687.46s/it]
 29%|██▉       | 29/99 [5:30:08<13:23:41, 688.88s/it]
 30%|███       | 30/99 [5:41:42<13:13:53, 690.35s/it]
 31%|███▏      | 31/99 [5:53:18<13:04:18, 692.03s/it]
 Training bag [0/319] bag loss: 0.6424
 Training bag [1/319] bag loss: 0.4089
 Training bag [2/319] bag loss: 2.4907
 Training bag [3/319] bag loss: 0.3083
 Training bag [4/319] bag loss: 0.3568
 Training bag [5/319] bag loss: 1.3825
 Training bag [6/319] bag loss: 1.0035
 Training bag [7/319] bag loss: 0.5519
 Training bag [8/319] bag loss: 0.7211
 Training bag [9/319] bag loss: 0.7750
 Training bag [10/319] bag loss: 0.6668
 Training bag [11/319] bag loss: 0.7801
 Training bag [12/319] bag loss: 0.7008
 Training bag [13/319] bag loss: 0.6365
 Training bag [14/319] bag loss: 0.5274
 Training bag [15/319] bag loss: 0.4537
 Training bag [16/319] bag loss: 1.4018
 Training bag [17/319] bag loss: 0.4893
 Training bag [18/319] bag loss: 0.4786
 Training bag [19/319] bag loss: 0.4668
 Training bag [20/319] bag loss: 0.4283
 Training bag [21/319] bag loss: 2.3077
 Training bag [22/319] bag loss: 0.4507
 Training bag [23/319] bag loss: 0.4542
 Training bag [24/319] bag loss: 0.4412
 Training bag [25/319] bag loss: 0.4268
 Training bag [26/319] bag loss: 0.4095
 Training bag [27/319] bag loss: 1.5471
 Training bag [28/319] bag loss: 0.4443
 Training bag [29/319] bag loss: 1.0300
 Training bag [30/319] bag loss: 0.7348
 Training bag [31/319] bag loss: 0.7397
 Training bag [32/319] bag loss: 0.6943
 Training bag [33/319] bag loss: 0.7233
 Training bag [34/319] bag loss: 0.5364
 Training bag [35/319] bag loss: 0.3939
 Training bag [36/319] bag loss: 1.1569
 Training bag [37/319] bag loss: 0.9769
 Training bag [38/319] bag loss: 0.7408
 Training bag [39/319] bag loss: 0.5690
 Training bag [40/319] bag loss: 0.9116
 Training bag [41/319] bag loss: 0.8883
 Training bag [42/319] bag loss: 0.6245
 Training bag [43/319] bag loss: 0.7377
 Training bag [44/319] bag loss: 0.5280
 Training bag [45/319] bag loss: 0.9101
 Training bag [46/319] bag loss: 0.4732
 Training bag [47/319] bag loss: 0.8365
 Training bag [48/319] bag loss: 0.4916
 Training bag [49/319] bag loss: 0.7769
 Training bag [50/319] bag loss: 0.6815
 Training bag [51/319] bag loss: 0.6006
 Training bag [52/319] bag loss: 0.9544
 Training bag [53/319] bag loss: 0.7598
 Training bag [54/319] bag loss: 0.6869
 Training bag [55/319] bag loss: 0.6520
 Training bag [56/319] bag loss: 0.5848
 Training bag [57/319] bag loss: 0.5209
 Training bag [58/319] bag loss: 0.8017
 Training bag [59/319] bag loss: 0.8373
 Training bag [60/319] bag loss: 0.6600
 Training bag [61/319] bag loss: 0.6755
 Training bag [62/319] bag loss: 0.9395
 Training bag [63/319] bag loss: 0.6397
 Training bag [64/319] bag loss: 0.7388
 Training bag [65/319] bag loss: 0.6018
 Training bag [66/319] bag loss: 0.5515
 Training bag [67/319] bag loss: 0.8466
 Training bag [68/319] bag loss: 0.4265
 Training bag [69/319] bag loss: 0.6421
 Training bag [70/319] bag loss: 0.8260
 Training bag [71/319] bag loss: 0.3378
 Training bag [72/319] bag loss: 0.4671
 Training bag [73/319] bag loss: 0.7196
 Training bag [74/319] bag loss: 0.7142
 Training bag [75/319] bag loss: 0.5781
 Training bag [76/319] bag loss: 0.4795
 Training bag [77/319] bag loss: 0.4079
 Training bag [78/319] bag loss: 0.4139
 Training bag [79/319] bag loss: 1.2146
